,question,is_evergreen,English,Russian,French,German,Hebrew,Arabic,Chinese
750,Which music label represents Jack Lemmon?,0,Which music label represents Jack Lemmon?,Какой музыкальный лейбл представляет Джека Леммона?,Quelle maison de disques représente Jack Lemmon ?,Welches Musiklabel vertritt Jack Lemmon?,איזו חברת תקליטים מייצגת את ג'ק למון?,أي شركة تسجيلات تمثل جاك ليمون؟,哪家音乐厂牌代表杰克·莱蒙？
751,Where is Natascha Kampusch's place of residence located?,0,Where is Natascha Kampusch's place of residence located?,Где находится место жительства Наташи Кампуш?,Où se trouve le lieu de résidence de Natascha Kampusch ?,Wo befindet sich der Wohnort von Natascha Kampusch?,היכן נמצא מקום מגוריה של נטשה קמפוש?,أين يقع مكان إقامة ناتاشا كامبوش؟,娜塔莎·坎普施的居住地在哪里？
752,Where does Cosimo de' Medici work?,0,Where does Cosimo de' Medici work?,Где работает Козимо Медичи?,Où travaille Cosimo de' Medici ?,Wo arbeitet Cosimo de' Medici?,איפה קוזימו דה מדיצ'י עובד?,أين يعمل كوزيمو دي ميديشي؟,科西莫·德·美第奇在哪里工作？
753,Who does José Altafini play with?,0,Who does José Altafini play with?,С кем играет Хосе Алтафини?,Avec qui José Altafini joue-t-il ?,Mit wem spielt José Altafini?,עם מי משחק ז'וזה אלטאפיני?,مع من يلعب خوسيه ألتافيني؟,何塞·阿尔塔菲尼和谁一起踢球？
754,Which music label represents LL Cool J?,0,Which music label represents LL Cool J?,Какой музыкальный лейбл представляет LL Cool J?,Quel label de musique représente LL Cool J ?,Welches Musiklabel vertritt LL Cool J?,איזו חברת תקליטים מייצגת את LL Cool J?,أي شركة تسجيلات تمثل LL Cool J؟,哪家音乐公司代表LL Cool J？
755,What position does Eugène Ionesco hold?,0,What position does Eugène Ionesco hold?,Какую позицию занимает Эжен Ионеско?,Quelle position Eugène Ionesco occupe-t-il ?,Welche Position hat Eugène Ionesco?,איזו משרה מחזיק אז'ן יונסקו?,ما المنصب الذي يشغله يوجين يونسكو؟,欧仁·尤内斯库担任什么职位？
756,Who is Eric Clapton in a relationship with?,0,Who is Eric Clapton in a relationship with?,Кто такой Эрик Клэптон в отношениях?,Avec qui Eric Clapton est-il en couple ?,Mit wem ist Eric Clapton in einer Beziehung?,עם מי אריק קלפטון נמצא במערכת יחסים?,مع من يرتبط إريك كلابتون بعلاقة؟,埃里克·克莱普顿正在和谁交往？
757,Where is Sojourner Truth's place of residence located?,0,Where is Sojourner Truth's place of residence located?,Где находится место жительства Соджорнер Трут?,Où se trouve le lieu de résidence de Sojourner Truth ?,Wo befindet sich der Wohnort von Sojourner Truth?,היכן נמצא מקום מגוריה של סוז'ורנר טרות'?,أين يقع مكان إقامة سوجورنر تروث؟,索杰纳·特鲁斯的居住地在哪里？
758,Who is the director of TV3?,0,Who is the director of TV3?,Кто является директором TV3?,Qui est le directeur de TV3 ?,Wer ist der Direktor von TV3?,מי המנהל של TV3?,من هو مدير قناة TV3؟,谁是TV3的导演？
759,Who is the director of Radiodiffusion-Télévision Française?,0,Who is the director of Radiodiffusion-Télévision Française?,Кто является директором Радиодиффузион-Телевидение Франсез?,Qui est le directeur de la Radiodiffusion-Télévision Française ?,Wer ist der Direktor der Radiodiffusion-Télévision Française?,מיהו המנהל של Radiodiffusion-Télévision Française?,من هو مدير Radiodiffusion-Télévision Française؟,谁是法国广播电视公司的负责人？
760,"Hermann, Fürst von Pückler-Muskau works in the location of where?",0,"Hermann, Fürst von Pückler-Muskau works in the location of where?","Герман, принц Пюклер-Мускау работает в месте, где?","Hermann, Fürst von Pückler-Muskau travaille à quel endroit ?","Hermann, Fürst von Pückler-Muskau arbeitet an welchem Ort?","הרמן, נסיך פון פיקלר-מוסקא עובד באיזה מקום?",هيرمان، فورست فون بوكله-موسكاو يعمل في أي موقع؟,赫尔曼·普克勒-穆斯考亲王在什么地方工作？
761,Who is the presiding member of the Bank of Mexico?,0,Who is the presiding member of the Bank of Mexico?,Кто является председателем Банка Мексики?,Qui est le président de la Banque du Mexique ?,Wer ist das vorsitzende Mitglied der Bank von Mexiko?,מי הוא היושב ראש של בנק מקסיקו?,من هو العضو الرئيس في بنك المكسيك؟,谁是墨西哥银行的主持成员？
762,For whom does Johannes Schöner work?,0,For whom does Johannes Schöner work?,Для кого работает Иоганн Шёнер?,Pour qui Johannes Schöner travaille-t-il ?,Für wen arbeitet Johannes Schöner?,עבור מי עובד יוהנס שנר?,لمن يعمل يوهانس شونر؟,约翰内斯·舍纳为谁工作？
763,Where is Henri Moissan's place of residence located?,0,Where is Henri Moissan's place of residence located?,Где находится место жительства Анри Муассана?,Où se trouve le lieu de résidence d'Henri Moissan ?,Wo befindet sich der Wohnort von Henri Moissan?,היכן נמצא מקום מגוריו של אנרי מואסן?,أين يقع مكان إقامة هنري مواسان؟,亨利·莫瓦桑的住所在哪里？
764,Which music label represents A$AP Rocky?,0,Which music label represents A$AP Rocky?,Какой музыкальный лейбл представляет A$AP Rocky?,Quel label de musique représente A$AP Rocky ?,Welches Musiklabel vertritt A$AP Rocky?,איזו חברת תקליטים מייצגת את A$AP Rocky?,أي شركة تسجيلات تمثل A$AP Rocky؟,哪家音乐厂牌代表A$AP Rocky？
765,Where does Lorenz von Stein work?,0,Where does Lorenz von Stein work?,Где работает Лоренц фон Штейн?,Où travaille Lorenz von Stein ?,Wo arbeitet Lorenz von Stein?,איפה לורנץ פון שטיין עובד?,أين يعمل لورنتس فون شتاين؟,洛伦茨·冯·施泰因在哪里工作？
766,Who is the person at the head of the government of Shaanxi?,0,Who is the person at the head of the government of Shaanxi?,Кто является главой правительства провинции Шэньси?,Qui est la personne à la tête du gouvernement du Shaanxi ?,Wer ist die Person an der Spitze der Regierung von Shaanxi?,מי עומד בראש ממשלת שאאנשי?,من هو الشخص الذي يرأس حكومة شنشي؟,谁是陕西省政府的负责人？
767,Who is the director of Capgemini?,0,Who is the director of Capgemini?,Кто является директором Capgemini?,Qui est le directeur de Capgemini ?,Wer ist der Geschäftsführer von Capgemini?,מיהו המנהל של קפג'מיני?,من هو مدير كابجيميني؟,谁是凯捷的董事（或总经理）？
768,Where does Rudolf Christoph Eucken work?,0,Where does Rudolf Christoph Eucken work?,Где работает Рудольф Христоф Эйкен?,Où travaille Rudolf Christoph Eucken ?,Wo arbeitet Rudolf Christoph Eucken?,איפה רודולף כריסטוף אויקן עובד?,أين يعمل رودولف كريستوف أوكن؟,鲁道夫·克里斯托夫·欧肯在哪里工作？
769,Who is Margaret Sanger in a relationship with?,0,Who is Margaret Sanger in a relationship with?,Кто такой Маргарет Сэнгер в отношениях?,Avec qui Margaret Sanger est-elle en couple ?,Mit wem ist Margaret Sanger in einer Beziehung?,עם מי מרגרט סנגר נמצאת במערכת יחסים?,مع من ترتبط مارجريت سانجر بعلاقة؟,玛格丽特·桑格和谁有关系？
770,Where does Jesus work?,0,Where does Jesus work?,Где работает Иисус?,Où travaille Jésus ?,Wo arbeitet Jesus?,איפה ישו עובד?,أين يعمل يسوع؟,耶稣在哪里工作？
771,Who does Burak Yılmaz play with?,0,Who does Burak Yılmaz play with?,С кем играет Бурак Йылмаз?,Avec qui Burak Yılmaz joue-t-il ?,Für wen spielt Burak Yılmaz?,עם מי בוראק ילמז משחק?,مع من يلعب بوراك يلماز؟,布拉克·伊尔马兹和谁一起踢球？
772,Who is the person at the head of the government of Gijón?,0,Who is the person at the head of the government of Gijón?,Кто является главой правительства Хихона?,Qui est la personne à la tête du gouvernement de Gijón ?,Wer ist die Person an der Spitze der Regierung von Gijón?,מי עומד בראש ממשלת חיחון?,من هو الشخص الذي يرأس حكومة خيخون؟,谁是希洪政府的负责人？
773,Who is the Minister of Education of New Zealand?,0,Who is the Minister of Education of New Zealand?,Кто является министром образования Новой Зеландии?,Qui est le ministre de l'Éducation de la Nouvelle-Zélande ?,Wer ist der Bildungsminister von Neuseeland?,מי שר החינוך של ניו זילנד?,من هو وزير التعليم في نيوزيلندا؟,新西兰的教育部长是谁？
774,What position does Leo IV the Khazar have?,0,What position does Leo IV the Khazar have?,Какую позицию занимает Лев IV Хазарский?,Quelle position occupe Léon IV le Khazar ?,Welche Position hat Leo IV. der Khazare?,איזה תפקיד יש לליאו הרביעי הכוזרי?,ما هو المنصب الذي يشغله ليو الرابع الخزر؟,可萨人利奥四世担任什么职位？
